MAX MIN 1 CE Simp 4,MIN MAX 1 CE Simp 4,Week of Data Escala de Tempo 1 CE Simp 4,Data do Incio da Semana Din Instante CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Texto Data do Incio da Semana Din Instante CE/EA,Selecione Tipo de CE Simp 4
05/04/2018,26/03/2018,31 March 2018,06/04/2018,31/03/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,38392.76434523
29/03/2018,19/03/2018,24 March 2018,30/03/2018,24/03/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,38604.61404166
22/03/2018,12/03/2018,17 March 2018,23/03/2018,17/03/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,40437.15958928
15/03/2018,05/03/2018,10 March 2018,16/03/2018,10/03/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,40773.49663095
08/03/2018,26/02/2018,3 March 2018,09/03/2018,03/03/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,40467.07914285
01/03/2018,19/02/2018,24 February 2018,02/03/2018,24/02/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,39243.86898809
22/02/2018,12/02/2018,17 February 2018,23/02/2018,17/02/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,39529.58460714
15/02/2018,05/02/2018,10 February 2018,16/02/2018,10/02/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,37777.30070238
08/02/2018,29/01/2018,3 February 2018,09/02/2018,03/02/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,38253.29732142
01/02/2018,22/01/2018,27 January 2018,02/02/2018,27/01/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,39052.16291666
25/01/2018,15/01/2018,20 January 2018,26/01/2018,20/01/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,41921.83280357
18/01/2018,08/01/2018,13 January 2018,19/01/2018,13/01/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,40034.82309523
11/01/2018,01/01/2018,6 January 2018,12/01/2018,06/01/2018 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,37228.58968452
04/01/2018,25/12/2017,30 December 2017,05/01/2018,30/12/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,35315.06515476
28/12/2017,18/12/2017,23 December 2017,29/12/2017,23/12/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,35874.70301785
21/12/2017,11/12/2017,16 December 2017,22/12/2017,16/12/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,38392.05610327
14/12/2017,04/12/2017,9 December 2017,15/12/2017,09/12/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,37303.42033333
07/12/2017,27/11/2017,2 December 2017,08/12/2017,02/12/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,36536.85075595
30/11/2017,20/11/2017,25 November 2017,01/12/2017,25/11/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,36621.61079761
23/11/2017,13/11/2017,18 November 2017,24/11/2017,18/11/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,35785.73924404
16/11/2017,06/11/2017,11 November 2017,17/11/2017,11/11/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,35773.30320238
09/11/2017,30/10/2017,4 November 2017,10/11/2017,04/11/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,35733.66041071
02/11/2017,23/10/2017,28 October 2017,03/11/2017,28/10/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,35231.0382619
26/10/2017,16/10/2017,21 October 2017,27/10/2017,21/10/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,36726.10018452
19/10/2017,09/10/2017,14 October 2017,20/10/2017,14/10/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,37459.67450698
12/10/2017,02/10/2017,7 October 2017,13/10/2017,07/10/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,36982.24827976
05/10/2017,25/09/2017,30 September 2017,06/10/2017,30/09/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,35257.79898214
28/09/2017,18/09/2017,23 September 2017,29/09/2017,23/09/2017 00:00:00,Semana Operativa,Sudeste/Centro-Oeste, a ,36252.25720833
