Ano,Mes,Semana,Data Inicio,Data Fim,Pesado SE,Medio SE,Leve SE,Pesado S,Medio S,Leve S,Pesado NE,Medio NE,Leve NE,Pesado N,Medio N,Leve N,,
2001,7,1,30/06/2001,06/07/2001,684,684,684,141.61,141.61,141.61,684,684,684,684,684,684,,
2001,7,2,07/07/2001,13/07/2001,684,684,684,4,4,4,684,684,684,684,684,684,,
2001,7,3,14/07/2001,20/07/2001,684,684,684,4,4,4,684,684,684,684,684,684,,
2001,7,4,21/07/2001,27/07/2001,684,684,684,86.94,86.94,86.94,684,684,684,684,684,684,,
2001,8,1,28/07/2001,03/08/2001,684,684,684,37.12,37.12,37.12,684,684,684,684,684,684,,
2001,8,2,04/08/2001,10/08/2001,684,684,684,4,4,4,684,684,684,684,684,684,,
2001,8,3,11/08/2001,17/08/2001,684,684,684,37.12,37.12,37.12,684,684,684,684,684,684,,
2001,8,4,18/08/2001,24/08/2001,684,684,684,60.62,60.62,60.62,684,684,684,684,684,684,,
2001,8,5,24/08/2001,31/08/2001,684,684,684,86.94,86.94,86.94,684,684,684,684,684,684,,
2001,9,1,01/09/2001,07/09/2001,684,684,684,93.24,93.24,93.24,684,684,684,684,684,684,,
2001,9,2,08/09/2001,14/09/2001,684,684,684,63.55,63.55,63.55,684,684,684,684,684,684,,
2001,9,3,15/09/2001,21/09/2001,684,684,684,79.72,79.72,79.72,684,684,684,684,684,684,,
2001,9,4,22/09/2001,28/09/2001,336,336,336,63.55,63.55,63.55,562.15,562.15,562.15,336,336,336,,
2001,10,1,29/09/2001,05/10/2001,336,336,336,63.55,63.55,63.55,562.15,562.15,562.15,336,336,336,,
2001,10,2,06/10/2001,12/10/2001,336,336,336,4,4,4,562.15,562.15,562.15,336,336,336,,
2001,10,3,13/10/2001,19/10/2001,336,336,336,4,4,4,562.15,562.15,562.15,336,336,336,,
2001,10,4,20/10/2001,26/10/2001,336,336,336,4,4,4,562.15,562.15,562.15,336,336,336,,
2001,11,1,27/10/2001,02/11/2001,336,336,336,4,4,4,562.15,562.15,562.15,336,336,336,,
2001,11,2,03/11/2001,09/11/2001,336,336,336,41.74,41.74,41.74,562.15,562.15,562.15,336,336,336,,
2001,11,3,10/11/2001,16/11/2001,336,336,336,46.62,46.62,46.62,562.15,562.15,562.15,336,336,336,,
2001,11,4,17/11/2001,23/11/2001,336,336,336,41.74,41.74,41.74,562.15,562.15,562.15,336,336,336,,
2001,11,5,24/11/2001,30/11/2001,336,336,336,31.82,31.82,31.82,562.15,562.15,562.15,336,336,336,,
2001,12,1,01/12/2001,07/12/2001,336,336,336,4,4,4,562.15,562.15,562.15,336,336,336,,
2001,12,2,08/12/2001,14/12/2001,336,336,336,4,4,4,562.15,562.15,562.15,336,336,336,,
2001,12,3,15/12/2001,21/12/2001,336,336,336,49.3,49.3,49.3,562.15,562.15,562.15,336,336,336,,
2001,12,4,22/12/2001,28/12/2001,336,336,336,41.74,41.74,41.74,562.15,562.15,562.15,336,336,336,,
2002,1,1,29/12/2001,31/12/2002,336,336,336,41.74,41.74,41.74,562.15,562.15,562.15,336,336,336,,
2002,1,1,01/01/2002,04/01/2002,336,336,336,41.74,41.74,41.74,562.15,562.15,562.15,4,4,4,,
2002,1,2,05/01/2002,11/01/2002,336,336,336,64.04,64.04,64.04,562.15,562.15,562.15,4,4,4,,
2002,1,3,12/01/2002,18/01/2002,336,336,336,64.04,64.04,64.04,562.15,562.15,562.15,4,4,4,,
2002,1,4,19/01/2002,25/01/2002,336,336,336,64.04,64.04,64.04,562.15,562.15,562.15,4,4,4,,
2002,2,1,26/01/2002,01/02/2002,134.76,134.76,134.76,8.88,8.88,8.88,319.41,319.41,319.41,4.19,4.19,4.19,,
2002,2,2,02/02/2002,08/02/2002,134.76,134.76,134.76,10.82,10.82,10.82,319.41,319.41,319.41,5.17,5.17,5.17,,
2002,2,3,09/02/2002,15/02/2002,9.25,9.25,9.25,8.88,8.88,8.88,319.41,319.41,319.41,4.19,4.19,4.19,,
2002,2,4,16/02/2002,22/02/2002,5.42,5.42,5.42,5.14,5.14,5.14,319.41,319.41,319.41,4,4,4,,
2002,3,1,23/02/2002,28/02/2002,8.14,8.14,8.14,6.97,6.97,6.97,319.41,319.41,319.41,4.49,4.49,4.49,,
2002,3,1,01/03/2002,01/03/2002,8.14,8.14,8.14,6.97,6.97,6.97,4.49,4.49,4.49,4.49,4.49,4.49,,
2002,3,2,02/03/2002,08/03/2002,4.66,4.66,4.66,4.12,4.12,4.12,4,4,4,4,4,4,,
2002,3,3,09/03/2002,15/03/2002,8.7,8.7,8.7,8.38,8.38,8.38,4.88,4.88,4.88,4.88,4.88,4.88,,
2002,3,4,16/03/2002,22/03/2002,13.1,13.1,13.1,12.32,12.32,12.32,7.32,7.32,7.32,7.32,7.32,7.32,,
2002,3,5,23/03/2002,29/03/2002,12.3,12.3,12.3,11.21,11.21,11.21,7.04,7.04,7.04,7.04,7.04,7.04,,
2002,4,1,30/03/2002,05/04/2002,11.64,11.64,11.64,11.64,11.64,11.64,6.17,6.17,6.17,6.17,6.17,6.17,,
2002,4,2,06/04/2002,12/04/2002,10.87,10.87,10.87,11.09,11.09,11.09,5.72,5.72,5.72,5.72,5.72,5.72,,
2002,4,3,13/04/2002,19/04/2002,15.84,15.84,15.84,17.03,17.03,17.03,8.71,8.71,8.71,8.71,8.71,8.71,,
2002,4,4,20/04/2002,26/04/2002,15.96,15.96,15.96,16.37,16.37,16.37,8.75,8.75,8.75,8.75,8.75,8.75,,
2002,5,1,27/04/2002,03/05/2002,20.57,20.09,20.03,20.42,20.09,20.03,4,4,4,20.57,20.09,20.03,,
2002,5,2,04/05/2002,10/05/2002,27.19,25.24,24.87,27.19,26.82,26.29,4.38,4.38,4.38,27.19,25.24,24.87,,
2002,5,3,11/05/2002,17/05/2002,19.58,19.06,18.61,20.43,20.17,19.99,4,4,4,4,4,4,,
2002,5,4,18/05/2002,24/05/2002,21.17,20.86,20.86,23.17,22.83,22.81,4.13,4.13,4.13,4.13,4.13,4.13,,
2002,5,5,25/05/2002,31/05/2002,14.51,13.83,11.11,11.67,11.47,11.11,4,4,4,4,4,4,,
2002,6,1,01/06/2002,07/06/2002,9.4,9.09,8.51,4,4,4,5.57,5.57,5.57,5.57,5.57,5.57,,
2002,6,2,08/06/2002,14/06/2002,14.52,14.21,14.13,14.42,14.21,13.96,7.69,7.69,7.69,7.69,7.69,4.7,,
